video_id,has_more,cursor,count,comments_list_create_time,comments_list_user_region,comments_list_user_signature,comments_list_user_unique_id,comments_list_user_language,comments_list_user_nickname,comments_list_comment_language,comments_list_text,comments_list_digg_count,comments_list_is_author_digged,comments_list_author_pin,comments_list_share_info_desc,comments_list_share_info_title,comments_list_reply_comment_total
7.208922464087313e+18,,,,,,,,,,,,,,,,,
,True,,,,,,,,,,,,,,,,
,,80.0,,,,,,,,,,,,,,,
,,,40.0,,,,,,,,,,,,,,
,,,,1681625978.0,NP,❤️,itsnotmesamm,en,it'snotmee,ne,पर्खाइ त तिम्रै छ अब ❤️,0.0,False,False,it'snotmee's comment: पर्खाइ त तिम्रै छ अब ❤️,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1679645967.0,NL,Just the vibes☁️🌿,totallynoth1nn,nl,Nothinn,en,I legit have always wanted to go to Switzerland,14.0,False,False,Nothinn's comment: I legit have always wanted to go to Switzerland,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1681765880.0,MX,,_clarmol,es,CLARET MOLINA PRZ,es,te amo switzerland,0.0,False,False,CLARET MOLINA PRZ's comment: te amo switzerland,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1681798823.0,ID,,user257743359,id,Franz,id,@مارثا ayo kesini,1.0,False,False,Franz's comment: @مارثا ayo kesini,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1678458866.0,MY,,d.sri77,en,NANDINI,en,so nice place 🥰,9.0,True,False,NANDINI's comment: so nice place 🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1678559256.0,FR,"One Two Three viva l'🇩🇿
               69 🦁",fenn_69,fr,213,fr,W Suisse,70.0,False,False,213's comment: W Suisse,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,7.0
,,,,1678613270.0,SE,"🇦🇲-🇸🇾
♱ 🎧 ♱",kxatos_gio,en,⠀ ⠀ ⠀ ⠀ ⠀,en,Put some McDonald’s and Burger kings there and gas stations and it’ll be fire! And some roads🥰🥰,34.0,False,False,⠀ ⠀ ⠀ ⠀ ⠀'s comment: Put some McDonald’s and Burger kings there and gas stations and it’ll be fire! And some roads🥰🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,9.0
