video_id,has_more,cursor,count,comments_list_create_time,comments_list_user_region,comments_list_user_signature,comments_list_user_unique_id,comments_list_user_language,comments_list_user_nickname,comments_list_comment_language,comments_list_text,comments_list_digg_count,comments_list_is_author_digged,comments_list_author_pin,comments_list_share_info_desc,comments_list_share_info_title,comments_list_reply_comment_total
7.106869196843159e+18,,,,,,,,,,,,,,,,,
,True,,,,,,,,,,,,,,,,
,,20.0,,,,,,,,,,,,,,,
,,,19.0,,,,,,,,,,,,,,
,,,,1655055166.0,TR,,kokke3,tr,Kevser,en,@cvrlybarbie2 @soze40 let’s go,13.0,False,False,Kevser's comment: @cvrlybarbie2 @soze40 let’s go,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,1.0
,,,,1676763609.0,ID,Malang,bbygurlkamu18,id,celi🪐,id,fairytale bgt yaAllah🥹,1.0,False,False,celi🪐's comment: fairytale bgt yaAllah🥹,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1656285565.0,IT,Account gestito anche dalle mie nipotine,saya_enki,it,Saya enki,it,Che sogno,30.0,False,False,Saya enki's comment: Che sogno,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1679451886.0,DO,"Cool 👍 Sage 💚
🇭🇹🇺🇸🇩🇴",djvalentinofficial,fr,Djvalentinofficial,,🥰🥰,0.0,False,False,Djvalentinofficial's comment: 🥰🥰,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1675425201.0,CH,+387😼,__.martina.j.__,it,🦋m a r t i n a🦋,en,Name song,7.0,False,False,🦋m a r t i n a🦋's comment: Name song,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,1.0
,,,,1677845972.0,US,"Every day there will be a movie you love
❤️❤️❤️",77movielove,en,77movielove,,🥰🥰🥰,3.0,False,False,77movielove's comment: 🥰🥰🥰,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1681075913.0,CH,kecek ya gelek zhe dayka xe xeribi 💔😭,sozo.zaxoyi10,de,sozo.zaxoyi10,de,Schweiz isch wunder schön und in beren ist am besten 🍀♥️,3.0,False,False,sozo.zaxoyi10's comment: Schweiz isch wunder schön und in beren ist am besten 🍀♥️,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1678418703.0,TH,รับฝากขาย ชื้อ เช่า บ้าน ที่ดิน  และอสังหาฯ ทุกประเภท กทม ฉะเชิงเทรา ทั่วไทย,user3020001025997,th,อสังหาเพิ่มสุข,th,สวยคะ,1.0,False,False,อสังหาเพิ่มสุข's comment: สวยคะ,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1680789866.0,ES,,ameliacasasaphesteguy,es,Amelia Casas Apheste,de,oh wunderschönen Ich liebe Schweiz,0.0,False,False,Amelia Casas Apheste's comment: oh wunderschönen Ich liebe Schweiz,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,0.0
,,,,1656064573.0,AE,,6.xlc,en,🤍,en,@batoul.shebl im gonna go live there,13.0,False,False,🤍's comment: @batoul.shebl im gonna go live there,SWITZERLAND IS SO BEAUTIFUL🇨🇭#switzerland #swissroads #switzerlandnature #roadtrip #verliebtindieschweiz #swissbeautiful #sisiswiss #swiss,1.0
