Product_Sold_Count($),positive,negative,neutral,highest,"highest_count(pos=1,neu=0,neg=-1)"
100000,10.0,3.0,7.0,positive,1.0
100000,10.0,1.0,9.0,positive,1.0
100000,13.0,1.0,6.0,positive,1.0
100000,7.0,4.0,7.0,positive,1.0
55000,10.0,3.0,7.0,positive,1.0
14000,13.0,1.0,6.0,positive,1.0
10000,8.0,6.0,6.0,positive,1.0
10000,10.0,1.0,9.0,positive,1.0
9862,10.0,0.0,10.0,positive,1.0
8115,11.0,1.0,8.0,positive,1.0
7417,14.0,3.0,3.0,positive,1.0
6520,11.0,4.0,5.0,positive,1.0
6389,10.0,3.0,7.0,positive,1.0
5147,8.0,3.0,8.0,positive,1.0
4151,12.0,3.0,5.0,positive,1.0
3486,13.0,3.0,4.0,positive,1.0
2326,10.0,1.0,7.0,positive,1.0
1960,18.0,0.0,2.0,positive,1.0
1686,13.0,3.0,4.0,positive,1.0
1369,9.0,5.0,6.0,positive,1.0
1339,10.0,4.0,6.0,positive,1.0
1052,12.0,1.0,7.0,positive,1.0
1012,10.0,2.0,7.0,positive,1.0
971,12.0,3.0,3.0,positive,1.0
899,11.0,2.0,7.0,positive,1.0
892,8.0,2.0,8.0,positive,1.0
806,10.0,2.0,8.0,positive,1.0
746,8.0,5.0,7.0,positive,1.0
668,8.0,5.0,7.0,positive,1.0
556,6.0,3.0,11.0,neutral,0.0
506,2.0,5.0,9.0,neutral,0.0
419,8.0,2.0,10.0,neutral,0.0
256,5.0,3.0,11.0,neutral,0.0
226,7.0,4.0,9.0,neutral,0.0
173,7.0,2.0,8.0,neutral,0.0
172,6.0,3.0,7.0,neutral,0.0
167,2.0,1.0,16.0,neutral,0.0
120,8.0,1.0,11.0,neutral,0.0
118,7.0,3.0,10.0,neutral,0.0
108,8.0,1.0,10.0,neutral,0.0
106,4.0,5.0,10.0,neutral,0.0
100,6.0,5.0,8.0,neutral,0.0
100,4.0,3.0,12.0,neutral,0.0
99,5.0,3.0,12.0,neutral,0.0
96,4.0,4.0,12.0,neutral,0.0
88,6.0,6.0,7.0,neutral,0.0
83,5.0,3.0,7.0,neutral,0.0
79,5.0,3.0,12.0,neutral,0.0
73,6.0,9.0,4.0,negative,-1.0
64,6.0,7.0,7.0,negative,-1.0
