Video_Content,Published_Date,Video_Length,Liked_Count,Comment_Count,Shared_Count,Product_Count,Video_URL
等我找个方法染出梦想中的碎花裙#vlog日常 #水之蔻,2023-03-03 19:30:27,2分32秒,882909,8990,25618,,https://www.douyin.com/share/video/7205927807011048738?
终于鼓起勇气去烫了自己心心念念的卷发  结果是可想而知的 ～#新农人计划2023  #乡村守护人 @KONO精选,2023-02-25 15:38:06,4分59秒,639892,40874,20029,,https://www.douyin.com/share/video/7203939757276024101?
当然适合各种腿型啦#休闲裤 #显高显瘦显腿长 #男女同款 #夏季穿搭,2023-03-27 10:07:13,15秒,455123,11403,55379,,https://www.douyin.com/share/video/7215041762660846888?
姐妹们帮我看一下“虚拟服装”到底是不是智商税？#小鱼海棠,2023-03-06 16:20:38,4分55秒,444589,14722,29927,,https://www.douyin.com/share/video/7207334662430051642?
对方与你发起了美食共享，往后鱼生，芥末是你，酱油还是你。#来驾啊  @KONO官方旗舰店,2023-03-13 11:30:04,4分18秒,444577,11513,46683,,https://www.douyin.com/share/video/7209847795329584445?
你们当时染过挂耳染嘛#vlog日常 #薇婷 #抖音电商超级品牌日,2023-03-11 18:48:06,1分33秒,409981,4372,8626,,https://www.douyin.com/share/video/7209223248091909428?
几十块祛痘不留痕，毫不夸张称之为祛痘大拿！#祛痘 #痘肌必备好物,2023-02-28 15:00:05,1分43秒,326365,31919,81803,,https://www.douyin.com/share/video/7205050278582783269?
心里有了良人，眼里皆是路人；心动是本能，而忠诚是选择。#海之秘,2023-03-29 19:00:19,3分23秒,311421,16749,89721,,https://www.douyin.com/share/video/7215814625885981952?
一段感情长久的秘诀就是，女生三观正，男生恋爱脑。#薇婷 #抖音电商超级品牌日,2023-03-09 19:30:57,5分35秒,284291,17999,31818,,https://www.douyin.com/share/video/7207449589950024999?
女为悦己者容，无论如何爱自己多一点吧@KONO官方旗舰店,2023-04-07 15:45:04,4分58秒,280190,3677,9702,,https://www.douyin.com/share/video/7219106037528300857?
理发师让程序员变练习生？#清扬防脱#清扬男士,2023-03-06 21:00:16,2分45秒,248102,11678,20747,,https://www.douyin.com/share/video/7207406208796364065?
"猕猴桃女孩集合！为啥头发不能像体毛这么争气？！#薇婷 
 #抖音电商超级品牌日",2023-03-09 16:30:22,1分24秒,243037,7699,16826,,https://www.douyin.com/share/video/7208384123826687269?
好久没穿旗袍了 你们来点评一下吧 @WIS星品   #春季新品必买清单,2023-03-24 19:00:40,3分39秒,235945,3917,3748,,https://www.douyin.com/share/video/7214022066515889465?
一种不讲道理的自我感动#妮维雅,2023-03-07 23:46:40,2分8秒,224617,1699,9076,,https://www.douyin.com/share/video/7207819848766852387?
森系甜美的小裙子谁能拒绝啊！上身甜美又减龄！搭双小白鞋就超哇塞！#谁穿谁好看 #神仙裙子 #ootd穿搭 #又到穿裙子的季节了 #甜系女孩,2023-03-25 11:39:59,9秒,223266,35380,55776,,https://www.douyin.com/share/video/7214323534980467972?
视频中相关内容在@德佑官方旗舰店直播中，有些东西真的就是之前无感用上一下真香了#vlog日常 #开箱#德佑爱干净联盟 #龚俊德佑品牌代言人,2023-03-07 20:00:05,3分10秒,223096,3817,4545,,https://www.douyin.com/share/video/7207757432443948340?
今天实现了一下小夹子自由#vlog日常 @墨雪旗舰店,2023-03-19 20:00:07,2分6秒,209467,29055,16926,,https://www.douyin.com/share/video/7212202553390484776?
石英砂好适合画蝴蝶#vlog日常 #肌理画,2023-03-21 18:17:46,1分45秒,204767,2101,4912,,https://www.douyin.com/share/video/7212931834152373544?
请务必和察觉到你情绪的人在一起，忽略你情绪的人，一千一万个不爱你。#粉底液种草 #好物分享 #爱用物,2023-03-05 19:30:27,5分13秒,184608,7528,42300,,https://www.douyin.com/share/video/7205606918260329765?
"4步get上镜妈生感
有手就会的淡颜系假睫毛
#假睫毛 #心愿先生 #懒人太阳花",2023-04-02 18:00:00,18秒,180613,6783,35256,,https://www.douyin.com/share/video/7217058480228732219?
今晚可以称之为放纵的夜晚,2023-03-31 20:16:22,2分50秒,172769,3675,10087,,https://www.douyin.com/share/video/7216676173554715961?
每个人的起点都是不一样的，我们只要比昨天的自己进步就可以了#不怕晒晒不怕 #美肤宝防晒 #美肤宝小粉管,2023-03-11 17:00:35,5分3秒,172385,3080,2671,,https://www.douyin.com/share/video/7208897753882168635?
在腾格里沙漠守了一晚终于拍到漫天星河流星，希望刷到这条视频的你幸福接好运! @WIS星品  #春季新品必买清单,2023-03-18 17:45:42,1分58秒,171227,3268,2866,,https://www.douyin.com/share/video/7211495986487643449?
素人大改造！每个女孩子都应该真正的做一回自己的公主！#小鱼海棠,2023-03-07 17:58:29,4分57秒,168013,4219,4871,,https://www.douyin.com/share/video/7207721487036337467?
别老盯着小金瓶，它家白管更通勤#骆王宇好物day,2023-04-16 21:44:28,3分15秒,161850,6183,9863,,https://www.douyin.com/share/video/7222626313981480253?
今日运动量已达标,2023-03-19 19:01:28,2分6秒,157084,5387,9721,,https://www.douyin.com/share/video/7212201531309919543?
为什么一定要听90后的话｜放眼全球，90后中学时的文艺表演都是最炸裂的…,2023-03-26 17:34:27,1分14秒,154682,2069,2866,,https://www.douyin.com/share/video/7214714027392503044?
用了几年的磨砂膏我要狠狠夸完狠狠磕！两大罐不过百！嘻嘻嘻滑溜溜～#磨砂膏,2023-03-11 18:00:14,1分35秒,148977,2954,7592,,https://www.douyin.com/share/video/7208860019268291896?
又隐形，又很难撕下来的这个#双眼皮贴 ，真的很心动！#好物分享 #unny,2023-03-08 21:45:34,39秒,141516,8200,63517,,https://www.douyin.com/share/video/7208171149455330612?
浅做一次金粉世家女主叭#沉浸式化妆 #纪梵希四宫格散粉,2023-02-22 17:00:21,3分16秒,141497,2252,2685,,https://www.douyin.com/share/video/7202815634281860391?
江湖救急！快帮我找到适合我的穿衣风格！#小鱼海棠,2023-04-10 20:43:24,4分53秒,140433,9142,3851,,https://www.douyin.com/share/video/7220371937514573111?
一日不“打” 如隔三秋#内容过于真实 #赖言赖语 #潘婷三分钟奇迹护发素 #3分钟就ok,2023-04-04 21:21:01,1分51秒,138122,1808,6461,,https://www.douyin.com/share/video/7218158763163782456?
昨晚逛了好久夜市买的 哪一件好看呀😄#三亚,2023-03-08 18:37:30,2分22秒,133359,12170,3188,,https://www.douyin.com/share/video/7208122682133548347?
艺术来源于生活 @KONO官方旗舰店,2023-04-15 17:00:55,2分10秒,128011,5904,61622,,https://www.douyin.com/share/video/7222148791636397364?
为什么说在学校没见过我？！#欧莱雅小银管防晒 #油皮防晒#防晒霜,2023-03-18 17:00:27,1分34秒,127643,947,3878,,https://www.douyin.com/share/video/7211515587518942479?
"这东西放在<span style=""color:#face15;"">时尚</span>圈不得相当炸裂诶 直接秒变甜酷辣妹 #眼影贴 #美出高级感 #种草",2023-02-25 11:16:53,16秒,125054,35339,110695,,https://www.douyin.com/share/video/7203927182475922744?
总有爱意，为你斩断一切顾虑@KONO官方旗舰店,2023-03-26 19:30:49,4分58秒,124200,2770,9220,,https://www.douyin.com/share/video/7214369381546020134?
别管！今天太嫩了！请公屏上打“莓子妹妹”#口红试色#嘟嘟唇#女大学生#希思黎红#魅惑水钻光唇膏,2023-03-08 17:00:18,2分24秒,123564,791,1240,,https://www.douyin.com/share/video/7208021045897350412?
